S.NO.,SERVICE CODE,DESCRIPTION OF ITEM,UNIT,Rate,DSR CODE,,,,
26,4000492,Providing and laying damp-proof course 50 mm thick with cement concrete 1:2:4 (1 Cement: 2 coarse sand : 4 graded stone aggregate 20 mm nominal size).(4.11-AR26),SQM,1.00,4.11,,,,
27,4000494,Applying a coat of residual petroleum bitumen of grade of VG-10 of approved quality using 1.7 kg per square metre on damp proof course after cleaning the surface with  brushes and finally with a piece of cloth lightly soaked in kerosene oil.(4.13-AR27),SQM,1.00,4.13,,,,
28,3013497,"Making plinth protection 50 mm thick of cement concrete 1:3:6 (1 cement: 3 coarse sand : 6 graded stone aggregate 20 mm nominal size) over 75mm thick bed of dry brick ballast 40 mm nominal size, well rammed and consolidated and grouted with fine sand, including finishing the top smooth. (4.17-AR28)",SQM ,1.00,4.17,,,,
32,4000495,"Providing and laying in position specified grade of reinforced cement concrete excluding the cost of centring, shuttering, finishing and reinforcement - All work upto plinth level-1:1.5:3 (1 Cement : 1.5 coarse sand : 3 graded stone aggregate 20 mm nominal size) (5.1.2-AR32)",CUM,1.00,5.1.2,,,,
33,4000496,"Providing and laying in position specified grade of reinforced cement concrete excluding the cost of centring, shuttering, finishing and reinforcement – All work upto plinth level  1:2:4 ( 1 cement : 2 coarse sand: 4 graded stone aggregate 20 mm nominal size).(5.1.3-AR33)",CUM,1.00,5.1.3,,,,
34,4000657,"Reinforced cement concrete work in walls (any thickness), including attached pilasters, buttresses, plinth and string courses, fillets,  columns, pillars, piers, abutments, posts and struts, etc. upto floor five level excluding cost of centring, shuttering, finishing and reinforcement. : 1:1.5:3 (1 Cement : 1.5 coarse sand : 3 graded stone aggregate 20 mm nominal size) (5.2.2-AR34)",CUM,1.00,5.2.2,,,,
35,,"Reinforced cement concrete work in walls (any thickness), including attached pilasters, buttresses, plinth and string courses, fillets,  columns, pillars, piers, abutments, posts and struts, etc. upto floor five level excluding cost of centring, shuttering, finishing and reinforcement. : 1:2:4 (1 Cement : 2 coarse sand: 4 graded stone  aggregate 20 mm nominal size) (5.2.3-AR35)",CUM,1.00,5.2.3,,,,
37,3013340,"Reinforced cement concrete work in  beams, suspended floors, roofs having slope upto 15°, landings, balconies, shelves, chajjas, lintels, bands, plain window sills, staircases and spiral stair cases upto floor five level excluding the cost of centring, shuttering, finishing and reinforcement with  1:1.5:3 (1 Cement : 1.5 coarse sand : 3 graded stone aggregate 20 mm nominal size) (5.3-AR37)",CUM,1.00,5.30,,,,
39,,"Providing and laying in position ready mixed M-25 grade concrete for reinforced cement concrete work, using cement content as per approved design mix, manufactured in fully automatic batching plant and transported to site of work in transit mixer for all leads, having continuous agitated mixer, manufactured as per mix design of specified grade for reinforced cement concrete work, including pumping of R.M.C. from transit mixer to site of laying , excluding the cost of centering, shuttering finishing and reinforcement, including cost of admixtures in recommended proportions as per IS : 9103 to accelerate/ retard setting of concrete, improve workability without impairing strength and durability as per direction of the Engineer - in - charge. (Note :- Cement content considered in this item is @ 330 kg/cum). All works upto plinth level (5.37.1)",CUM,1.00,5.37.1,,,,
40,,"Providing and laying in position ready mixed M-25 grade concrete for reinforced cement concrete work, using cement content as per approved design mix, manufactured in fully automatic batching plant and transported to site of work in transit mixer for all leads, having continuous agitated mixer, manufactured as per mix design of specified grade for reinforced cement concrete work, including pumping of R.M.C. from transit mixer to site of laying , excluding the cost of centering, shuttering finishing and reinforcement, including cost of admixtures in recommended proportions as per IS : 9103 to accelerate/ retard setting of concrete, improve workability without impairing strength and durability as per direction of the Engineer - in - charge. (Note :- Cement content considered in this item is @ 330 kg/cum). All works above plinth level upto floor V level (5.37.2-AR40))",CUM,1.00,5.37.2,,,,
42,4000661,"Centring and shuttering including strutting, propping etc. and removal of form work for : Foundations, footings, bases of columns.(5.9.1-AR42)",SQM,1.00,5.9.1,,,,
43,4000663,"Centring and shuttering including strutting, propping etc. and removal of form work for: Retaining walls, return walls, walls (any thickness) including attached pilasters, buttresses, plinth and string courses fillets , kerbs and step etc.(5.9.2-AR43)",SQM,1.00,5.9.2,,,,
44,4000664,"Centring and shuttering including strutting, propping etc. and removal of form for: Suspended floors, roofs, landings, balconies and access platform (5.9.3-AR44)",SQM,1.00,5.9.3,,,,
45,4000666,"Centring and shuttering including strutting, propping etc. and removal of form for: Shelves (Cast in situ) (5.9.4-AR45)",SQM,1.00,5.9.4,,,,
46,4000667,"Centring and shuttering including strutting, propping etc. and removal of form for Lintels,  beams, plinth beams, girders, bressumers and cantilevers.(5.9.5-AR46)",SQM,1.00,5.9.5,,,,
47,4000662,"Centring and shuttering including strutting, propping etc. and removal of form work for Columns, piers, abutments, pillars, posts and struts (5.9.6-AR47)",SQM,1.00,5.9.6,,,,
48,4000668,"Centring and shuttering including strutting, propping etc. and removal of form for : Stairs, (excluding landings) except spiral- staircases.(5.9.7-AR48)",SQM,1.00,5.9.7,,,,
49,3013499,"Centering and shuttering including strutting, propping etc. and removal of form for : Weather shade, Chajjas, corbels etc., including edges (5.9.19-AR49)",SQM,1.00,5.9.19,,,,
50,3013500,"Extra for additional height in centering, shuttering where ever required with adequate bracing, propping etc., including cost of de-shuttering and decentering at all levels, over a height of 3.5 m, for every additional height of 1 metre or part thereof (Plan area to be measured) : Suspended floors, roofs, landing, beams and balconies (Plan area to be measured). (5.11.1-AR50)",SQM ,1.00,5.11.1,,,,
51,,"Providing, hoisting and fixing upto floor five level precast reinforced cement concrete work in string courses, bands, copings, bed plates, anchor blocks, plain window sills and the like including  the cost of required centring, shuttering but excluding cost of reinforcement with 1:2:4 (1 cement: 2 coarse sand: 4 graded stone aggregate 20 mm nominal size).(5.12-AR51)",CUM,1.00,5.12,,,,
52,,"Providing, hoisting and fixing upto floor five level precast reinforced cement concrete in small lintels not exceeding 1.5 m clear span  upto floor five level including the cost of required  centring, shuttering but excluding cost of reinforcement with 1:2:4 (1 cement: 2 coarse sand: 4 graded stone aggregate 20 mm nominal size).(5.13-AR52)",CUM,1.00,5.13,,,,
53,4000672,"Reinforcement for R.C.C work including straightening, cutting, bending, placing in position and binding all complete. cold twisted bars (5.22.3-AR53)",KG,1.00,5.22.3,,,,
54,4001261,Add for plaster drip course/groove in plastered surface or moulding to R.C.C. projections (5.30-AR54),M,1.00,5.30,,,,
56,4000481,Brick work with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 in foundation and plinth in cement mortar 1 : 4 (1 cement : 4 coarse sand ) (6.1.1-AR56),CUM,1.00,6.1.1,,,,
57,4000480,Brick work with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 in foundation and plinth in cement mortar 1 : 6 (1 cement : 6 coarse sand ) (6.1.2-AR57),CUM,1.00,6.1.2,,,,
58,3013501,Brick work with common burnt clay F.P.S. (non modular) bricks of class designation 7.5 in superstructure above plinth level up to floor V level in all shapes and sizes in : Cement mortar 1:4 (1 cement : 4 coarse sand) (6.4.1-AR58),CUM,1.00,6.4.1,,,,
59,4000483,Half brick masonry with common burnt clay F.P.S (non modular) bricks of class designation 7.5 in  superstructure above plinth level upto floor V level in cement mortar 1:3 (1 cement : 3 coarse sand) (6.13.1-AR59),SQM,1.00,6.13.1,,,,
60,4000484,Half brick masonry with common burnt clay F.P.S (non modular) bricks of class designation 7.5 in  superstructure above plinth level upto floor V level in cement mortar 1:4 (1 cement : 4 coarse sand) (6.13.2-AR60),SQM,1.00,6.13.2,,,,
61,3013502,Extra for providing and placing in position 2 No. 6 mm dia M.S bars at every third course of half brick masonry (6.15-AR61).,SQM,1.00,6.15,,,,
62,4000485,Tile brick masonry with common burnt clay F.P.S (non modular) tile bricks of class designation 10 in foundation and plinth in cement mortar 1: 4 (1 cement : 4 coarse sand) (6.16.1-AR62),CUM,1.00,6.16.1,,,,
63,3013503,Tile brick masonry with common burnt clay F.P.S. (non modular) tile bricks of class designation 10 in superstructure above plinth level up to floor V level in cement mortar 1:6 (1 cement : 6 coarse sand). (6.17-AR63),CUM,1.00,6.17,,,,
64,3013504,Providing and laying autoclaved aerated cement blocks masonry with 100 mm thick AAC blocks in super structure above plinth level up to floor V level in cement mortar 1:4 (1 cement : 4 coarse sand ). The rate includes providing and placing in position 2 Nos 6 mm dia M.S. bars at every third course of masonry work. (6.38-AR64),CUM (DSR 2012),1.00,6.38,,,,
65,4000786,Random rubble masonry with hard stone in foundation and plinth including levelling up with cement concrete 1:6:12 (1 Cement : 6 coarse sand : 12 graded stone aggregate 20 mm nominal size) upto plinth level with : - Cement mortar 1:6 (1 Cement : 6 coarse sand) (7.1.1-AR65),CUM,1.00,7.1.1,,,,
66,3013505,"Random rubble masonry with hard stone in superstructure above plinth level and upto floor five level, including leveling up with cement concrete 1:6:12 (1 Cement : 6 coarse sand : 12 graded stone aggregate 20 mm  nominal  size) at window sills, ceiling level and the like cement mortar 1:6 (1 cement: 6 coarse sand). (7.2.1-AR66)",CUM,1.00,7.2.1,,,,
67,4000598,"Providing and fixing 18 mm thick gang saw cut mirror polished premoulded and prepolished, machine cut for kichen paltforms, vanity counters window sills, facias and similar locations of required size of approved shade, colour and texture laid over 20 mm thick base cement mortar 1:4  (1 Cement : 4 coarse sand) joints treated with white cement ,mixed with matching pigment, epoxy touch ups, including rubbing ,curing, moulding and polishing to edges to give high gloss finish etc. complete at all levels. Raj nagar plain white marble/Udaipur green marble/Zebra black marble. Area of slab over 0.5 Sqm (8.2.1.2-AR67)",SQM,1.00,8.2.1.2,,,,
68,4000599,"Providing and fixing 18 mm thick gang saw cut mirror polished premoulded and prepolished, machine cut for kitchen platforms, vanity counters, windows, sills, facias and similar locations of required size of approved shade, colour and texture laid over 20 mm thick base cement mortar 1:4 (1 Cement : 4 coarse sand) with joints treated with white cement, mixed with matching pigment, epoxy touch ups, including rubbing ,curing, moulding and polishing to edges to give high gloss finish etc. complete at all levels. Granite of any colour and shade. Area of slab over 0.5 Sqm (8.2.2.2-AR68)",SQM,1.00,8.2.2.2,,,,
69,4000600,"Providing edge moulding to 18 mm thick marble stone counters,Vanities etc. including machine polishing to edge to give high gloss finish etc. complete as per design approved by Engineer-in-Charge. Marble work (8.3.1-AR69)",M,1.00,8.3.1,,,,
70,4000601,"Providing edge moulding to 18 mm thick marble stone counters,Vanities etc. over  including machine polishing to edge to give high gloss finish etc. complete as per design approved by Engineer-in-Charge. Granite work (8.3.2-AR70)",M,1.00,8.3.2,,,,
71,3013506,"Extra for fixing marble /granite stone over and above corresponding basic item, in facia and drops of width upto 150 mm with epoxy resin based adhesive including cleaning etc. complete. (8.4-AR71)",M,1.00,8.4,,,,
72,4000602,"Extra for providing opening of required size & shape for wash basins/kitchen sink in kitchen platform, vanity counters and similar location in marble/granite/stone work  including necessary  holes  for pillar taps etc .including moulding rubbing and polishing of cut edges etc. complete.(8.5-AR72)",EA,1.00,8.5,,,,
73,3013507,Mirror polishing on marble work/Granite work/stone work where ever required to give high gloss finish complete. (8.6-AR73),SQM,1.00,8.6,,,,
74,3013508,"Providing and fixing stone slab table rubbed , edges rounded and polished of size 75x50 cm deep and 1.8 cm thick fixed in urinal partitions by cutting a chase of appropriate width with chase cutter and embedding the stone in the chase with epoxy grout or with cement concrete 1:2:4 (1 cement : 2 coarse sand : 4 graded stone aggregate 6mm nominal size) as per direction of Engineer-in-charge and finished smooth.Granite stone of approved shade (8.10.2-AR74)",SQM ,1.00,8.10.2,,,,
75,4000844,"Providing wood work in frames of doors, windows, clerestory windows and other frames, wrought framed and fixed in position with hold fast lugs or with dash fasteners of required dia & length (hold fast lugs or dash fasteners shall be paid for separately : sal wood (9.1.2-AR75)",CUM,1.00,9.1.2,,,,
76,3013509,"Providing wood work in frames of doors, windows, clerestory windows and other frames, wrought framed and fixed in position with hold fast lugs or with dash fasteners of required dia & length (hold fast lugs or dash fasteners shall be paid for separately : Kiln seasoned and chemically treated hollock wood. (9.1.3-AR76)",CUM,1.00,9.1.3,,,,
77,4000845,"Providing and fixing panelled or panelled and glazed shutters for doors, windows and clerestory windows including ISI marked M.S pressed butt hinges, bright finished of required size with necessary screws, excluding, panelling which will be paid for separately, all complete as per direction of Engineer-in-charge. Kiln seasoned and chemically treated  hollock wood.- 30 mm thick shutters (9.5.1.2-AR77)",SQM,1.00,9.5.1.2,,,,
78,4000846,"Providing and fixing panelling or panelling and glazing in panelled or panelled and glazed shutters for doors, windows and clerestory windows (Area of opening for panel inserts excluding portion inside grooves or rebates to be measured). Panelling for panelled or panelled and glazed shutters 25 mm to 40 mm thick. Kiln seasoned and chemically treated hollock wood (9.7.2-AR78).",SQM,1.00,9.7.2,,,,
79,3013510,"Providing and fixing glazed shutters for doors, windows and clerestorywindows using 4 mm thick float glass panes, including ISI marked M.S.pressed butt hinges bright finished of required size with necessary screws : Kiln seasoned and chemically treated hollock wood : 35 mm thick (9.9.2.1-AR79)",SQM (DSR 2012),1.00,9.9.2.1,,,,
80,3013511,"Providing and fixing glazed shutters for doors, windows and clerestory windows using 4mm thick float glass panes, including ISI marked M.S. pressed butt hinges bright finished of required size with necessary screws. Kiln seasoned and chemically treated Hollock wood. 30mm thick (9.9.2.2-AR80)",SQM,1.00,9.9.2.2,,,,
81,4000847,"Providing and fixing ISI marked flush door shutters confirming to IS: 2202 (part I) non-decorative type, core of block board construction with frame of 1st class hard wood and  well matched commercial 3 ply veneering with vertical grains or cross bands and face veneers on both faces of shutters : 35 mm thick including ISI marked Stainless Steel butt hinges with necessary screws (9.21.1-AR81)",SQM,1.00,9.21.1,,,,
82,4000848,"Providing and fixing ISI marked flush door shutters confirming to IS: 2202 (part I) non-decorative type, core of block board construction with frame of 1st class hard wood and  well matched commercial 3 ply veneering with vertical grains or cross bands and face veneers on both faces of shutters : 25 mm thick (for cupboard) including ISI marked nickel plated bright finished M.S. piano hinges with necessary screws. (9.21.3-AR82)",SQM,1.00,9.21.3,,,,
83,3013512,"Providing and fixing 35 mm thick wire gauze shutters using galvanised M.S. wire gauze of average width of aperture 1.4 mm with wire of  dia. 0.63 mm for doors, windows and clerestory windows including ISI marked bright finished or/and black enamelled M.S. butt hinges with necessary screws : Kiln seasoned and chemically treated hollock wood. (9.27.1.2.2-AR83)",SQM,1.00,9.27.1.2.2,,,,
84,4000849,"Providing and fixing M.S. grills of required pattern in frames of windows etc. with M.S. flats, square or round bars etc. all complete including priming coat with approved steel primer all complete. Fixed to steel windows by welding. ((9.48.1-AR84)",KG,1.00,9.48.1,,,,
86,3013513,Providing and fixing fly proof galvanised M.S. wire gauze to windows and clerestory windows using galvanised M.S. wire gage with average width of aperture 1.4 mm in both directions with wire of dia. 0.63 mm.With 2nd class teak wood beading 62x19 mm. (9.51.1-AR86),SQM,1.00,9.51.1,,,,
88,4000852,Providing and fixing ISI marked oxidised M.S. sliding door bolts with nuts and screws etc. complete : 250x16 mm  (9.62.2-AR88),EA,1.00,9.62.2,,,,
89,4000853,"Providing and fixing ISI marked oxidised M.S. tower bolt  black finish, (Barrel type) with necessary screws etc. complete : 250x10 mm (9.63.1-AR89)",EA,1.00,9.63.1,,,,
90,4000855,"Providing and fixing ISI marked oxidised M.S. tower bolt  black finish, (Barrel type) with necessary screws etc. complete : 200x10 mm (9.63.2-AR90)",EA,1.00,9.63.2,,,,
91,4000854,"Providing and fixing ISI marked oxidised M.S. tower bolt  black finish, (Barrel type) with necessary screws etc. complete : 150x10 mm  (9.63.2-AR91)",EA,1.00,9.63.3,,,,
92,4000856,Providing and fixing ISI marked oxidised M.S. handles conforming to IS: 4992 with necessary screws etc. complete : 125 mm (9.66.1-AR92),EA,1.00,9.66.1,,,,
93,4000857,Providing and fixing ISI marked oxidised M.S. handles conforming to IS: 4992 with necessary screws etc. complete : 100 mm (9.66.2-AR93),EA,1.00,9.66.2,,,,
94,4000851,Providing and fixing oxidised M.S. casement stays (straight peg type) with necessary screws etc. complete. : 300 mm weighing not less than 200 gms (9.68.1-AR94),EA,1.00,9.68.1,,,,
95,3014001,Providing and fixing bright finished brass 100 mm mortice latch and lock with 6 levers and a pair of lever handles with necessary screws etc. complete (best make of approved quality). (9.76-AR95),EA ,1.00,9.76,,,,
96,3013515,Providing and fixing bright finished brass hanging type floor door stoper with necessary screws etc complete. (9.82-AR96),EA ,1.00,9.82,,,,
97,4000858,"Providing and fixing aluminium extruded section body tubular type universal hydraulic door closer (having brand logo with ISI, IS : 3564 embosed on the body, door weight upto 36 kg to 80 kg and door width from 701 mm to 1000 mm) with double speed adjustment with necessary accessories and  screws etc. complete. (9.84-AR97)",EA,1.00,9.84,,,,
98,3013514,Providing and fixing chromium plated brass 100mm mortice latch and lock with 6 levers and a pair of lever handles with necessary screws etc. complete. 99.88-AR98),EA,1.00,99.88,,,,
99,3014010,Providing and fixing ISI marked aluminium butt hinges anodised (anodiccoating not less than grade AC 10 as per IS : 1868) transparent or dyed to required colour or shade with necessary screws etc. complete: 100x63x3.2 mm (9.95.5-AR99),EA,1.00,9.95.5,,,,
100,3014011,Providing and fixing aluminium sliding door bolts ISI marked anodised (anodic coating not less than gradeAC 10 as per IS:1868) transparent or dyed to required colour and shade with nuts and screws etc. complete: 300x16 mm (9.96.1-AR100),EA,1.00,9.96.1,,,,
101,4000859,Providing and fixing aluminium sliding door bolts ISI marked anodised (anodic coating not less than grade AC 10 as per IS : 1868) transparent or dyed to required colour or shade with nuts and screws etc. complete : 250x16 mm  (9.96.2-AR101),EA,1.00,9.62.2,,,,
102,3014007,Providing and fixing aluminium tower bolts ISI marked anodised ( anodic coating not less than grade AC 10 as per IS : 1868 ) transparent or dyed to required colour or shade with necessary screws etc. complete: 300x10 mm  (9.97.1-AR102),EA (DSR 2012),1.00,9.97.1,,,,
103,4000860,Providing and fixing aluminium tower bolts ISI marked anodised ( anodic coating not less than grade AC 10 as per IS : 1868 ) transparent or dyed to required colour or shade with necessary screws etc. complete: 250x10 mm (9.97.2-AR103),EA,1.00,9.97.2,,,,
104,4000861,Providing and fixing aluminium tower bolts ISI marked anodised ( anodic coating not less than grade AC 10 as per IS : 1868 ) transparent or dyed to required colour or shade with necessary screws etc. complete: 200x10 mm (9.97.3-AR104),EA,1.00,9.97.3,,,,
105,4000862,Providing and fixing aluminium tower bolts ISI marked anodised ( anodic coating not less than grade AC 10 as per IS : 1868 ) transparent or dyed to required colour or shade with necessary screws etc. complete: 150x10 mm (9.97.4-AR105),EA,1.00,9.97.4,,,,
106,4000863,Providing and fixing aluminium handles ISI marked anodised (anodic coating not less than grade AC 10 as per IS : 1868) transparent or dyed to required colour or shade with necessary screws etc. complete: 125 mm (9.100.1-AR106),EA,1.00,9.100.1,,,,
107,4000864,Providing and fixing aluminium handles ISI marked anodised (anodic coating not less than grade AC 10 as per IS : 1868) transparent or dyed to required colour or shade with necessary screws etc. complete: 100 mm (9.100.2-AR107),EA,1.00,9.100.2,,,,
108,4000850,Providing and fixing aluminium hanging floor door stopper ISI marked anodised (anodic coating not less than grade AC 10 as per IS : 1868)  transparent  or  dyed to required colour and shade  with  necessary screws etc complete. Twin rubber stopper (9.101.2-AR108),EA,1.00,9.101.2,,,,
109,3013725,Providing and fixing aluminium casement stays ISI  marked anodised (anodic coating not less than grade AC 10 as per IS: 1868) transparent or dyed to required colour and shade with necessary screws etc. complete.(9.102-AR109),EA,1.00,9.10,,,,
110,3013726,"Providing and fixing factory made uPVC door frame made of uPVC extruded sections having an overall dimension as below (tolerance ±1mm), with wall thickness 2.0 mm (± 0.2 mm), corners of the door frame to be Jointed with galvanized brackets and stainless steel screws, joints mitred and Plastic welded. The hinge side vertical of the frames reinforced by galvanized M.S. tube of size 19 X 19 mm and 1mm (± 0.1mm) wall thickness and 3 nos. stainless steel hinges fixed to the frame complete as per manufacturer’s specification and direction of Engineerin-charge Extruded section profile size 48x40 mm. (9.117.1-AR110)",M ,1.00,9.117.1,,,,
111,3013727,"30 mm thick factory made Polyvinyl Chloride (PVC) door shutter made of styles and rails of a uPVC hollow section of size 60x30 mm and wall thickness 2 mm (± 0.2 mm), with inbuilt decorative moulding edging on one side. The styles and rails mitred and joint at the corners by means of M.S. galvanised/ plastic brackets of size 75x220 mm having wall thickness 1.0 mm and stainless steel screws. The styles of the shutter reinforced by inserting galvanised M.S. tube of size 25x20 mm and 1 mm (± 0.1 mm) wall thickness. The lock rail made up of ‘H’ section, a uPVC hollow section of size 100x30 mm and 2 mm (± 0.2 mm) wall thickness fixed to the shutter styles by means of plastic/ galvanised M.S. ‘U’ cleats. The shutter frame filled with a uPVC multi-chambered single panel of size not less than 620 mm, having over all thickness of 20 mm and 1 mm (± 0.1 mm) wall thickness . The panels filled vertically and tie bar at two placesby inserting horizontally 6 mm galvanised M.S. rod and fastened with nuts and washers, complete as per manufacturer’s specification and direction of Engineer-in-charge. (9.118.2-AR111)",SQM,1.00,9.118.2,,,,
